version,conformance,agent,author,timestamp,name,altname,class,catalog,publisher,developer,region,players,date,subclass,portdeveloper,system,crc,sha1,dump,dumper,datedumped,revision,prototype,type,pcb,mapper,name2,size,crc3,sha14,id,size5,id6,type7,battery,number,function,size8,crc9,sha110,name11,id12,number13,function14,h,v,type15,size16,battery17,id18,type19,name20
1,strict,NesCartDB,BootGod,Mon Oct 22 22:16:08 2012,'89 Dennou Kyuusei Uranai,???’89??????,Licensed,IPC-J1-01,Jingukan,Micronics / Khaos,Japan,1,1988-12-10,,,Famicom,BA58ED29,56FE858D1035DCE4B68520F457A0858BAE7BB16D,ok,bootgod,11/11/2007,,,HVC-SGROM,HVC-SGROM-03,1,IPC-J1-0 PRG,256k,BA58ED29,56FE858D1035DCE4B68520F457A0858BAE7BB16D,,,,,,,,,,,,,,,,,,,,,,
1,strict,NesCartDB,BootGod,Mon Oct 22 22:16:08 2012,'89 Dennou Kyuusei Uranai,???’89??????,Licensed,IPC-J1-01,Jingukan,Micronics / Khaos,Japan,1,1988-12-10,,,Famicom,BA58ED29,56FE858D1035DCE4B68520F457A0858BAE7BB16D,ok,bootgod,11/11/2007,,,HVC-SGROM,HVC-SGROM-03,1,,,,,,8k,,,,,,,,,,,,,,,,,,,,
1,strict,NesCartDB,BootGod,Mon Oct 22 22:16:08 2012,'89 Dennou Kyuusei Uranai,???’89??????,Licensed,IPC-J1-01,Jingukan,Micronics / Khaos,Japan,1,1988-12-10,,,Famicom,BA58ED29,56FE858D1035DCE4B68520F457A0858BAE7BB16D,ok,bootgod,11/11/2007,,,HVC-SGROM,HVC-SGROM-03,1,,,,,,,,MMC1A,,,,,,,,,,,,,,,,,,
1,strict,NesCartDB,BootGod,Mon Oct 22 22:16:08 2012,10-Yard Fight,10???????,Licensed,IF-02,Irem,Irem,Japan,2,1985-08-30,3rd-Party,,Famicom,836C4FA7,55DC03A493150258E10166CF38ED76DFADE605D6,ok,bootgod,5/6/2007,,,IREM-NROM-128,IREM-01-V,0,,16k,D3D248C9,64185EDC4FD64B5F5E565B90B0DDC241592D899C,,,,,,,,,,,,,,,,,,,,,,
1,strict,NesCartDB,BootGod,Mon Oct 22 22:16:08 2012,10-Yard Fight,10???????,Licensed,IF-02,Irem,Irem,Japan,2,1985-08-30,3rd-Party,,Famicom,836C4FA7,55DC03A493150258E10166CF38ED76DFADE605D6,ok,bootgod,5/6/2007,,,IREM-NROM-128,IREM-01-V,0,,,,,,,,,,,,8k,9C124A53,BEDDF6A65A1A72410CFB1208E8B6B6E0CF5B2E74,,,,,,,,,,,,
1,strict,NesCartDB,BootGod,Mon Oct 22 22:16:08 2012,10-Yard Fight,10???????,Licensed,IF-02,Irem,Irem,Japan,2,1985-08-30,3rd-Party,,Famicom,836C4FA7,55DC03A493150258E10166CF38ED76DFADE605D6,ok,bootgod,5/6/2007,,,IREM-NROM-128,IREM-01-V,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,
1,strict,NesCartDB,BootGod,Mon Oct 22 22:16:08 2012,10-Yard Fight,10???????,Licensed,IF-02,Irem,Irem,Japan,2,1985-08-30,3rd-Party,,Famicom,44D21F83,D850B48ACA4A3B1E503D2A483508564D774C536C,ok,bootgod,2/15/2009,1.1,,IREM-NROM-128,IREM-01-V,0,,16k,B7E8DECA,3108D4540449EA0A48DAAA2644ACF16A5DE87F08,,,,,,,,,,,,,,,,,,,,,,
1,strict,NesCartDB,BootGod,Mon Oct 22 22:16:08 2012,10-Yard Fight,10???????,Licensed,IF-02,Irem,Irem,Japan,2,1985-08-30,3rd-Party,,Famicom,44D21F83,D850B48ACA4A3B1E503D2A483508564D774C536C,ok,bootgod,2/15/2009,1.1,,IREM-NROM-128,IREM-01-V,0,,,,,,,,,,,,8k,9C124A53,BEDDF6A65A1A72410CFB1208E8B6B6E0CF5B2E74,,,,,,,,,,,,
1,strict,NesCartDB,BootGod,Mon Oct 22 22:16:08 2012,10-Yard Fight,10???????,Licensed,IF-02,Irem,Irem,Japan,2,1985-08-30,3rd-Party,,Famicom,44D21F83,D850B48ACA4A3B1E503D2A483508564D774C536C,ok,bootgod,2/15/2009,1.1,,IREM-NROM-128,IREM-01-V,0,,,,,,,,,,,,,,,,,,,0,1,,,,,,
1,strict,NesCartDB,BootGod,Mon Oct 22 22:16:08 2012,10-Yard Fight,,Licensed,NES-TY-USA,Nintendo,Irem,USA,2,1985-10,,,NES-NTSC,3D564757,016818BF6BAAF779F4F5C1658880B81D23EA40CA,ok,bootgod,9/18/2005,,,NES-NROM-256,NES-NROM-256-02,0,NES-TY-0 PRG,32k,DF58FC5A,7CC69B39ECE2168574599D45AB8452EDD4F5A3A1,,,,,,,,,,,,,,,,,,,,,,
1,strict,NesCartDB,BootGod,Mon Oct 22 22:16:08 2012,10-Yard Fight,,Licensed,NES-TY-USA,Nintendo,Irem,USA,2,1985-10,,,NES-NTSC,3D564757,016818BF6BAAF779F4F5C1658880B81D23EA40CA,ok,bootgod,9/18/2005,,,NES-NROM-256,NES-NROM-256-02,0,,,,,,,,,,,,8k,2B8336EE,6B40A3B7AD6214ABF9C35BCBF89D9C1DA06F47A0,NES-TY-0 CHR,,,,,,,,,,,
